,original,paraphrase
7,"Izidi: 1. kolo - skupina A: ZRJ - Grčija 83:72, Francija - Hrvaška 74:57, Italija - Nemčija 56:55; skupina B: Slovenija - Izrael 74:63, Turčija - Litva 59:56, Španija - Latvija 102:72; 2. kolo - skupina A: ZRJ : Hrvaška 85:64 (37:26), Nemčija : Grčija 69:64 (27:34), Italija : Francija večerna tekma; skupina B: Slovenija : Litva 77:59 (43:32), Španija : Izrael 64: 52 (33:26), Turčija : Latvija 63:59 (34:24).",": Rezultati 1 kolo - skupina A: FRY - Grčija 83: 72, Francija - Hrvaška 74: 57, Italija - Nemčija 56; skupina B: Slovenija - Izrael 74: 63, Turčija - Litva 59: 56, Španija - Latvija 102: 72 2. kolo - skupina A FRY Hrvaška 85; 64 (37: 26), Nemčija Grčija 69 64 (27) 34, Italija Francija večerna tekma; skupina B: Slovenija: 77: 59 (43: 32:), Španija: Izrael: 64: 52 (33: 26) Turčija, Latvija: 63 59 (34: 24) 59)"
8,Uroš Stibilj zaradi poškodbe ne bo nastopil na državnem prvenstvu,Uroš Stibilj zaradi poškodbe ne bo nastopil na državnem prvenstvu
9,"Tekmovanje se bo pravzaprav začelo že danes z uradnim treningom vseh nastopajočih, zares pa bo šlo s petek in soboto, ko bodo tekmovalci iz vseh slovenskih klubov merili moči oba dneva od 8. do 20. ure.","Tekmovanje se bo pravzaprav začelo danes z uradnim treningom vseh nastopajočih, zares pa bo šlo s petkom in soboto, ko bodo tekmovalci iz vseh slovenskih klubov merili svojo moč oba dni od 8. do 20. ure."
10,"Izidi - fantje, do 10 let: Rok Hržica (ima 3,5 točke) : Melkumisan (Arm) remi; do 12 let: Jure Borišek (2,5) : Jeitz (Lux) 1:0, Klemen Četina (2,5) : Potašnik (Izr) 0:1; do 14: Aleš Lazar (3,5) : Hanley (Ang) 1:0, Mihiliadis (Grč) : Blaž Bratovič (3) 0:1, Borut Kukovec (2,5) : Babamusta (Alb) 1:0; do 16 let: Kunin (Rus) : Miha Gomboc (2) 1:0, Tomić (BiH) : Matej Šebenik (3) 0:1; do18 let: Halkias (Grč) : Uroš Kavčič (3) 1:0, Falkenberg (Bel) : Žvan Žiga (1,5) 0:1; deklice - do14 let: Bonnyfous (Fra) : Veronika Hari (3) 1:0; do 16 let: Neda Tompa (2,5) : Masip (Špa) 0:1; do 18 let: Batite (Lit) : Darja Kapš (4,5) 0:1. A. D.","Rok Hržica (3,5 točke); Melkumisan (roka); remi do 12 let; Jure Borišek (2,5); Jeitz (lux 1: 0); Klemen Četina (2,5): Potasnik (Ezr) 0; 1; do 14 let Aleš Lazar (3,5) Hanley () Ang 1: 0, Mihiliadis (Grč::::: Blaž Bratovič (::: 0) 1 Borut Kukovec (: 2,5) Babamusta (Ablusta) 1) 0 do 16 let Vladimir Kunin Belin (Rusovec); Miha Goc (2) 0) Tomić (3 1 do 18 let: Ževanovan:: 3 leta::::::: 2: 2: 2: 2: 1 Bašašak (A. 5) 0 do 14 let; Mašaka Mašaka (1) 0 do 4"
11,Na atletskem mitingu zlate lige je Maročan na 1500 m izboljšal Morcelijev rekord - Bukovčeva spet na zmagovalnih stopničkah,"Na srečanju atletske zlate lige je Maročan izboljšal Morcelijev rekord na 1500 m, Bukovac pa se je znova uvrstil na zmagovalne stopničke."
0,Šport po svetu,Šport po svetu
1,Bojan Kavčič,Bojan Kavčič
2,23,23 od:
3,46,46 točk od
4,19,19 od:
5,37,37 točk od
6,128,128 in 128
7,16,16 iz:
8,8,8 točk od
9,158,Za 158 točk
10,23,23 od:
11,204,204 iz:
12,"Današnja zaključna preizkušnja 47. novoletne skakalne turneje na 120-metrski napravi v skakalnem centru legendarnega (pokojnega) Seppa-Bubija Bradla, ki bo hkrati generalka za februarsko SP, bo torej predvsem psihološka vojna trojice vodilnih skakalcev različnih značilnosti.","Današnja zadnja preizkušnja 47. novoletne turneje v smučarskih skokih na 120 metrov dolgem skakalnem centru legendarnega () pokojnega Seppa-Bubija Bradla, ki bo hkrati tudi generalka za februarsko SP, bo torej predvsem psihološko bojevanje treh vodilnih skakalcev z različnimi lastnostmi."
13,"Manj eleganten telemark in vsaj v začetku leta ne povsem v isti ravnini ležeče smuči, sta drobni slabosti, zaradi katerih bi moral Schmitt oba tekmeca v obeh skokih skupaj preskočiti za več kot 7 metrov, kolikor bi bilo sicer dovolj, da bi nadomestil zaostanek za njima (12,3 oz. 11,9 točke). Z odličnim izkoristkom na odkočnem mostu in briljantno tehniko letenja na tako veliki skakalnici njegov cilj nikakor ni neuresničljiv. Ne gre pa v naprej izključiti tudi vsakovrstnih presenečenj.","Manj elegantna telemark in, vsaj v začetku leta, ne v isti ravnini smuči, so majhne pomanjkljivosti, zaradi katerih bi Schmitt moral skočiti dva tekmovalca v obeh skokih skupaj za več kot 7 metrov, saj bi bilo sicer dovolj, da bi nadomestili vrzel za njimi (12,3 ali 11,9 točke). Z odlično učinkovitostjo na štartnem mostu in briljantno tehniko letenja na tako veliki skakalnici, njegov cilj nikakor ni nerealen, vendar vnaprej ni mogoče izključiti kakršnih koli presenečenj"
14,Na vse ali nič - Martin Schmitt.,Na vse ali nič Martin Schmitt
15,"Ljubljana - Na finalnem turnirju NLB za leto 1998 je zmagal Leon Mazi 8,5 pred Šifrerjem, Podlesnikom in Mohrom po 6,5 Barletom, Pavasovičem, Šolnom in Črepanom po 6 itd. B. R.","Ljubljana - Leon Mazi je na finalnem turnirju NLB za leto 1998 osvojil 8.5 pred Šifrerjem, Podlesnikom in Mohrom po 6.5 Barletu, Pavasoviču, Šolnu in Črepanu po 6 itd. B. R."
16,"Ramenskoe - Kljub odsotnosti Bjørna Daehlieja in Thomasa Alsgaarda ni bil pogled na norveški tekaški tabor po včerajšnji tekmi za svetovni pokal nič drugačen kot v preteklih tednih. V tekih v klasičnem slogu na 10 in 15 km sta namreč Bente Martinsen in Espen Bjervig dosegla kar dvojno zmago, popolno zmagoslavje Skandinavcev pa je preprečila le domačinka Kristina Šmigun (3.). Žal je sreča že dan pred nastopom obrnila hrbet edini slovenski tekmovalki Nataši Lačen.","Ramenskoe - Kljub odsotnosti Bjørna Daehlieja in Thomasa Alsgaarda pogled na norveški tekaški tabor po včerajšnji tekmi svetovnega pokala ni bil nič drugačen kot v prejšnjih tednih. V klasičnem teku na 10 in 15 km sta Bente Martinsen in Espen Bjervig dosegla dvojno zmago, popolno zmago skandinavskega naroda pa je preprečila le domačinka Kristina Šmigun (3.). Žal je dan pred nastopom sreča obrnila hrbet edini slovenski tekmovalki Nataši Lachen."
17,"»Pekočemu občutku v pljučih dan pred tekmo niti nisem posvečala pretirane pozornosti, vendar se je danes dopoldne vse skupaj razvilo v virusno obolenje,« je bila razočarana Lačnova, ki je namesto v smučini dan preživela v postelji, tako da je negotov tudi njen nastop na naslednji tekmi konec tedna v Novem Mestu na Češkem. Tam naj bi nastopili še Matej Soklič, Joško Petkovšek, Vasja Rupnik in Petra Majdič. Andreja Mali se je po odličnih nastopih v šprintu posvetila pripravam na svetovno prvenstvo in se bo z najboljšimi spet srečala šele sredi februarja v Seefeldu.","""Niti nisem posvečal preveč pozornosti pekočemu občutku v pljučih dan pred tekmo, danes zjutraj pa se je vse skupaj spremenilo v virusno bolezen,"" je povedala Lačnova, ki je dan preživela v postelji namesto na smučanju, zato je njen nastop na naslednji dirki konec tedna v Novem mestu na Češkem negotov. Matej Soklič, Joško Petkovšek, Vasja Rupnik in Petra Majdič bodo tam nastopili. Andreja Mali se je po izvrstnih šprinterskih nastopih osredotočila na priprave na svetovni pokal in bo najboljše ponovno srečala šele sredi februarja v Seefeldu."
18,Holzerja zadržali navijači,Holzer navijači potekala
19,Šport ekspres,Športni ekspres
20,Lačnova že med 50,Biti lačen za 50
21,Kadeti si želijo na EP,Oni si želijo EP.
0,V. K.,V. K.
1,"KOČEVJE - Nogometaši Gaja se načrtno pripravljajo na skorajšnji začetek tekmovanja v prvi ligi. V prijateljski tekmi so premagali drugoligaša Slovana iz Ljubljane z rezultatom 1:0. Strelec je bil Andrej Struna. V soboto gostuje v Ribnici celovški drugolilaš Slak, v nedeljo pa še prvoligaš Živila iz Naklega. Trenerja Perica in Vučko sta zadovoljna s potekom priprav.","KOČEVJE - Nogometaši Gaje se pripravljajo na začetek tekmovanja v prvi ligi. V prijateljski tekmi so z rezultatom 1: 0 premagali drugoligaša Slovana iz Ljubljane. Strelec je bil Andrej Struna. V soboto v Ribnici gosti drugo ekipo Slaka, v nedeljo pa prvo ekipo Živligaša iz Naklega."
2,"NOVO MESTO - Društvo vinogradnikov Novo mesto - Trška gora in podjetje Agrosejalec v torek, 14. februarja, organizirata prikaz rezi vinske trte. Vse, ki jih to zanima, naj se ob 15. uri zberejo pri Krkinem hramu na Trški gori.","NOVO MESTO - Društvo vinogradnikov Novo mesto - Trška gora in podjetje Agrosealec v torek, 14. februarja, organizirata razstavo kosov vinske trte. Vsi, ki jih to zanima, naj se zberejo ob 15: 00 v Krkinem hramu na Trški gori."
3,"SEVNICA - V Sloveniji so delavci ""razstreljeni"" kar med 130 sindikati, od tega je 19 reprezentativnih, štirje pa so pravzaprav osrednji, a med vsemi temi, po besedah Slavka Kmetiča, predsednika Socialdemokratskega sindikalnega foruma (SSF), ni nobene povezave. Tudi zato je po njegovem vse več delavcev na robu bede in v pomanjkanju. Večata se socialno razslojevanje in brezposelnost. Evropska socialna listina, po Kmetičevih besedah, pravi, da naj bi najmanj 68 odstotkov delavcev prejemalo povprečne plače, pri nas pa se od tega cilja vse bolj oddaljujemo.","SEVNICA - V Sloveniji so delavci ""razstreljeni"" med 130 sindikati, od katerih jih je 19 reprezentativnih, štirje pa so dejansko centralni, vendar med njimi po besedah Slavka Kmetiča, predsednika Socialdemokratskega sindikalnega foruma (SSF), ni nobene povezave. Zaradi tega je prepričan, da je vse več delavcev na robu bede in pomanjkanja. Družbena razslojenost in brezposelnost se povečujeta. Po Kmetičevih besedah Evropska socialna listina navaja, da bi moralo dobiti povprečno plačo vsaj 68 odstotkov delavcev, medtem ko se v Sloveniji vse bolj oddaljujemo od tega cilja."
4,"Predsdnik SSF Kmetič je v slogu svojega šefa stranke Janeza Janše še poudaril: ""Danes nam vladajo tisti, ki so bili proti osamosvojitvi Slovenije in nas spet hočejo spraviti nazaj. Bomo za jugoslovanske dolgove dvakrat plčali?"" Državna uprava se vse bolj bohoti, saj ima po Kmetičevih besedah že okrog 143.000 zaposlenih, na dan zaposli okrog 150 uradnikov. ""Če nimaš realne moči, nisi nič! Delavci so za red in disciplino,"" je še dodal pomenljivo.","Vodja SSF Kmetič, v stilu njegovega šefa stranke Janeza Janše, je poudaril: ""Danes nam vladajo tisti, ki so bili proti osamosvojitvi Slovenije in nas želijo ponovno pridobiti nazaj! Ali bomo za jugoslovanske dolgove plačani dvakrat?"" Državna uprava je vse bolj in bolj, saj ima po mnenju Kmetiča že okoli 143.000 zaposlenih, vsak dan zaposluje okoli 150 uradnikov. ""Če nimaš prave moči, nisi nič Delavci so za red in disciplino,"" je dodal"
0,"Letno maturitetno poročilo o poklicni maturi 2008 prikazuje rezultate spomladanskega in jesenskega izpitnega roka 2008 in zimskega izpitnega roka, ki je bil izpeljan v začetku leta 2009. To je poklicna matura, na kateri so kandidati še zadnjič končevali šolanje izključno po iztekajočih se izobraževalnih programih. Že v letu 2009, ko se bodo končali prvi trije novi1 programi poklicno-tehniškega izobraževanja – še posebno pa nekaj naslednjih let –, bo na poklicni maturi situacija nekoliko bolj zapletena, saj bodo kandidati istočasno končevali šolanje po različnih programih. Letno poročilo je po dispoziciji iz prejšnjih let pripravil uredniški odbor, ki ga je imenovala Državna komisija za poklicno maturo (DK PM). DK PM je poročilo obravnavala in sprejela na svoji 8 redni seji, dne 20. 5. 2009. V uvodu predsednik DK PM dr. Borisa Dular najprej predstavi pravne podlage za poklicno maturo, sledi opredelitev pomena in značilnosti poklicne mature, upoštevanja heterogenosti kandidatov,2 predmetnih izpitnih katalogov in odgovornih organov za izpeljavo poklicne mature. V tretjem poglavju so predstavljeni organi poklicne mature s kratkim opisom njihovih pristojnosti in s poimensko sestavo DK PM in državnih predmetnih komisij za poklicno maturo (DPK PM) za prve in za tretje predmete poklicne mature. Državni izpitni center (Ric) je pripravil empirično analizo rezultatov vseh treh izpitnih rokov poklicne mature, ki je prikazana v četrtem poglavju. Najprej so predstavljene meje za pretvorbo odstotnih točk v točkovne ocene pri prvem in pri tretjem predmetu poklicne mature. Meje so podobne kakor v prejšnjih letih, enake so pri angleščini, za točko nižje pri materinščini in pri slovenščini kot drugem jeziku. Zaradi boljšega rezultata kandidatov so lahko višje od lani pri nemščini, pri italijanščini kot drugem jeziku in pri matematiki. Matematika še vedno odstopa z nižjo mejo (40), medtem ko je ta meja pri drugih predmetih 49 ali 50 odstotnih točk. Sledijo tabele z glavnimi podatki o kandidatih. Največ kandidatov je bilo iz SSI, skoraj polovico manj iz PTI, okoli 3 % pa iz poklicnih tečajev. Tudi letos zaznavamo velik osip med prijavljenimi kandidati, saj jih okoli 17 % ne opravlja poklicne mature. Največji delež odjavljenih in neudeleženih je med kandidati iz PTI. Struktura kandidatov po spolu je izenačena, delež uspešnih pa je med ženskami za dober odstotek višji kakor med moškimi. Uspešnost kandidatov je v rahlem porastu že od leta 2002. Največji delež uspešnih je med kandidati, ki so končali poklicni tečaj. Ti kandidati imajo končano gimnazijsko izobraževanje. Mnogi med njimi opravljajo le drugi in četrti predmet poklicne mature, če lahko uveljavijo opravljeni predmet s splošne mature. Delež uspešnih med kandidati iz SSI je višji kakor med kandidati iz PTI. Ni novost, da je delež uspešnih med dijaki višji kakor med preostalimi (beri odraslimi). Podatki o kandidatih po letu rojstva povedo, da se je večina kandidatov na poklicni maturi 2008 rodila v letu 1988 ali dveh poprej. Najštevilnejši letnik ima tudi najvišji delež uspešnih. Zanimivo je, da je uspešnost kandidatov, ki so več kakor deset let starejši od poklicnih maturantov, skoraj enaka uspešnosti dijakov, delež uspešnih med kandidati, ki so rojeni od leta 1980 do leta 1986, pa je za okroglih 6 % nižji. Struktura kandidatov po statusu in po spolu sledi trendom prejšnjih let. Podatki o načinu opravljanja poklicne mature razkrijejo, da na spomladanskem izpitnem roku opravlja poklicno maturo velika večina v celoti prvič, na jesenskem izpitnem roku je kandidatov, ki jo opravljajo v celoti prvič, skoraj enako število, a nekoliko manj kakor kandidatov, ki jo popravljajo ali izboljšujejo, v zimskem izpitnem roku pa je kandidatov, ki ponavljajo ali popravljajo, občutno več kakor kandidatov, ki opravljajo poklicno maturo v celoti.","V letnem poročilu mature 2008 so prikazani rezultati spomladanskega in jesenskega izpitnega roka 2008 ter zimskega izpitnega roka, ki je bil izveden v začetku leta 2009. Gre za poklicno maturo, pri kateri so kandidati svoje izobraževanje zadnjič zaključili šele po končanih izobraževalnih programih. Že leta 2009, ko bodo zaključeni prvi trije novi1 programi poklicnega usposabljanja - predvsem pa v naslednjih nekaj letih - bo stanje na poklicni maturi nekoliko bolj zapleteno, saj bodo kandidati hkrati zaključevali izobraževanje v različnih programih. V skladu z dispozicijami iz prejšnjih let je letno poročilo pripravil uredniški odbor, ki ga je imenovala Nacionalna komisija za poklicno maturo (DK PM). DK PM je poročilo obravnaval in sprejel na 8. redni seji 20. maja 2009. V uvodu je predsednik DK PM dr. Boris Dular predstavil pravno podlago za poklicno maturo, nato pa še opredelitev pomena in značilnosti poklicne mature, pri čemer je upošteval heterogenost kandidatov, 2 predmetna izpita in organe, odgovorne za izvedbo poklicnih mature. Nacionalni izpitni center (Ric) je pripravil empirično analizo rezultatov vseh treh izpitov poklicne mature, ki je prikazana v četrtem poglavju. Najprej so predstavljene meje za pretvorbo odstotnih točk v točkovne ocene pri prvem in tretjem predmetu poklicne mature, ki so podobne kot v prejšnjih letnikih, enake v angleščini, za eno točko nižje pri maternem jeziku in v slovenščini kot drugem jeziku. Matematika še vedno odstopa od spodnje meje (40), medtem ko pri ostalih predmetih znaša ta meja 49 oz. 50 odstotnih točk. Sledijo tabele z glavnimi podatki o kandidatih. Večina kandidatov je bila iz SSI, skoraj polovica manj iz PTI, in približno 3% iz poklicnih programov. Tudi letos je osip med kandidati velik, saj jih približno 17% ne opravi poklicne mature. Največji delež kandidatov je med kandidati iz PTI. Struktura kandidatov je enaka, medtem ko je delež uspešnih kandidatov med ženskami nekaj več kot odstotek večji kot med moškimi. Stopnja uspešnosti kandidatov se je od leta 2002 nekoliko povečala. Največji delež uspešnih kandidatov je med tistimi, ki so končali poklicno maturo. Ti kandidati imajo končano srednješolsko izobraževanje. Veliko jih opravi le drugi in četrti tečaj poklicne mature, če lahko uveljavljajo opravljanje splošne mature. Delež uspešnih kandidatov iz SSI je večji kot med kandidati iz ZSP. Ni novo, da je odstotek uspešnih študentov višji kot med ostalimi (beri odrasli). Podatki o kandidatih po letu rojstva kažejo, da je bila večina kandidatov na poklicni maturi v letu 2008 rojena leta 1988 oziroma dve leti pred tem. Zanimivo je, da je stopnja uspešnosti kandidatov, ki so več kot deset let starejši od poklicnih diplomantov, skoraj enaka stopnji uspešnosti dijakov, medtem ko je delež uspešnih kandidatov, ki so bili rojeni med letoma 1980 in 1986, približno 6% nižji. Struktura kandidatov po statusu in spolu sledi trendom prejšnjih let. Podatki o načinu obiskovanja poklicne mature kažejo, da na spomladanskem izpitu velika večina kandidatov poklicno maturo opravi prvič; na jesenskem izpitnem obdobju so kandidati, ki jo prvič izpolnijo, skoraj enako število kandidatov, vendar nekoliko manj kot kandidati, ki jo popravijo ali izboljšajo v zimskem izpitnem obdobju; in obstajajo kandidati, ki ponavljajo ali popravljajo več kot kandidati, ki opravijo poklicno maturo."
1,"Poklicno maturo lahko opravlja vsak, ki je uspešno končal srednjo tehniško ali drugo strokovno šolo, 2. letnik poklicno-tehniškega izobraževanja po sistemu 3 + 2 ali enoletno izobraževanje v poklicnem tečaju ali pa je opravil mojstrski, delovodski ali poslovodski izpit pri pristojni zbornici. Kandidati se razlikujejo glede na številne različne poklice oziroma stroke, znotraj katerih imajo isti predmeti poklicne mature različen obseg, pa tudi glede na način izobraževanja – redni ali izredni kandidati – in glede na status – dijaki ali odrasli. Poklicna matura se opravlja iz štirih predmetov, iz dveh splošnoizobraževalnih predmetov, to je iz slovenščine (italijanščine ali madžarščine) in iz matematike ali tujega (drugega) jezika, in iz temeljnega strokovnoteoretičnega predmeta ter iz preizkusa praktične usposobljenosti za delo v stroki. Pri tem sta dva predmeta obvezna. Prvi obvezni predmet je slovenščina, na območjih, kjer živi italijanska narodna skupnost, je v šolah z italijanskim učnim jezikom namesto slovenščine italijanščina, na območjih, kjer živi madžarska narodna skupnost, pa slovenščina ali madžarščina – po izbiri kandidata. Drugi obvezni predmet je temeljni strokovnoteoretični predmet. Dva predmeta izbere kandidat sam; izbira lahko med matematiko in tujim oziroma drugim jezikom, četrti predmet pa med različnimi oblikami dokazovanja usposobljenosti za delo v poklicu oziroma stroki: storitev, izdelek, projektno delo, seminarsko nalogo in podobno z zagovorom. Poklicna matura se izvaja po enotnem izpitnem redu za vse kandidate. Pisni izpit pri prvem in pri tretjem predmetu je eksteren, saj podporo za njeno izvajanje in za zaščito tajnosti zagotavlja Ric. Na poklicni maturi je zagotovljeno načelo eksternosti. Zagotavlja se na več načinov. Pri pisnem delu izpita pri prvem in pri tretjem predmetu so pripravljene enotne nacionalne naloge. Uporabljajo se enotna merila ocenjevanja in enotne meje za pretvorbo točk v ocene pri prvem in pri tretjem predmetu. Druge izpitne pole pri izpitu iz slovenščine, (madžarščine, italijanščine) in iz tujega oziroma drugega jezika ocenjujeta dva ocenjevalca. Za drugi in za četrti predmet so pripravljeni predmetni izpitni katalogi in enotna okvirna navodila za sestavljanje nalog, za točkovanje in za ocenjevanje, ki jih šolam posreduje Center RS za poklicno izobraževanje. Pri četrtem predmetu lahko sodelujejo v šolski izpitni komisiji zunanji člani iz podjetij in drugih organizacij, kjer se zaposlujejo maturanti.","Poklicno maturo lahko opravi vsak, ki je uspešno opravil srednjo tehniško ali drugo strokovno šolo, 2. letnik poklicno-tehničnega izobraževanja po sistemu 3 + 2 ali enoletno izobraževanje po poklicnem tečaju ali pa je opravil magistrski, delovodski ali vodstveni izpit na pristojni zbornici. Kandidati se razlikujejo glede na število različnih poklicev oziroma poklicev, znotraj katerih imajo isti predmeti poklicne mature drugačen obseg, pa tudi glede na način izobraževanja - kandidati za redni ali izredni študij - in glede na status - študenti ali odrasli. Poklicna matura se opravlja iz štirih predmetov, iz dveh splošnoizobraževalnih predmetov, in sicer iz slovenščine (italijanščina ali madžarščina) in iz matematike ali tujega jezika (drugi jezik) ter iz osnovnega strokovnega predmeta ter iz praktičnega preizkusa za delo v stroki, kjer sta obvezna dva predmeta. Prvi obvezni predmet je slovenščina, na območjih, kjer živi italijanska narodna skupnost, v šolah, kjer se poučuje italijanski jezik namesto slovenščine, in na območjih, kjer živi madžarska narodna skupnost, slovenščina ali madžarščina - po izbiri kandidata. Drugi obvezni predmet je osnovni predmet strokovnosti; dva predmeta izbere sam kandidat; lahko izbira med matematiko in tujim ali drugim jezikom, četrti predmet pa med različnimi oblikami dokazovanja kompetentnosti za delo v stroki: servis, izdelek, projektno delo, seminarska naloga in podobno z zagovorom. Poklicna matura se izvaja po enotnem izpitnem urniku za vse kandidate. Pisni izpit pri prvem in tretjem predmetu je zunanji, saj podporo za njegovo izvajanje in varovanje tajnosti zagotavlja Ric. V pisnem delu izpita iz prvega in tretjega predmeta so pripravljene enotne nacionalne naloge. Uporabijo se enotni ocenjevalni kriteriji in enotne meje za pretvorbo točk v ocene pri prvem in tretjem predmetu. Ostale naloge pri izpitu iz slovenščine (madžarska, italijanska) in tujega ali drugega jezika ocenjujeta dva ocenjevalca. Za drugi in četrti predmet se pripravijo izpitni katalogi in enotna okvirna navodila za pripravo nalog, za točkovanje in za ocenjevanje, ki jih šolam posreduje Center Republike Slovenije za poklicno izobraževanje. Pri četrtem predmetu lahko v šolski izpitni komisiji sodelujejo zunanji člani iz podjetij in drugih organizacij, kjer so diplomanti zaposleni."
2,2.2.3 Predmetni izpitni katalogi,2.2.3 Katalogi predmetov izpitov
3,LETNO MATURITETNO POROČILO O POKLICNI MATURI 2008,Letno poročilo o poklicni matematiki 2008
4,Metka Košir mag. Nives Kreuh dr. Mihaela Zavašnik mag. Gordana Pečnik Miloša Gogala predsednica članica članica članica članica,Metka Košir mag. Nives Kreuh Dr. Mihaela Zavašnik Mag. Gordana Pečnik Miloš Gogala predsednica države članice
5,4.2.1 Sestava DPK PM za slovenščino in slovenščino kot drugi jezik,4.2.1 Sestava DPK PM za slovenščino in slovenščino kot drugi jezik
6,Helena Kozar mag. Liljana Kač Nataša Kralj mag. Rosvita Šengelaja Mihaela Urša Zakošek predsednica članica članica članica članica,Helena Kozar mag. Liljana Kač Nataša Kralj mag. Rosvita Šengela Mihael Urša Zakošek Predsednica države članice
