,original,paraphrase,transformer
21,"Kortizol pa obenem spodbuja povečano sproščanje stresnih hormonov adrenalina in noradrenalina iz sredice nadledvičnih žlez, ki se porazdelita po vsem telesu in povzročata značilne stresne odzive. ","Kortizol spodbuja tudi povečano sproščanje stresnih hormonov adrenalina in noradrenalina iz nadledvičnih žlez, ki se porazdelijo po telesu in povzročijo tipične odzive na stres.",<pad> Kortizol spodbuja povečano sproščanje stresnih hormonov adrenalina in noradrenalina iz sredi
22,"Priželjc ali timus tvori limfocite, pomembne za obrambni mehanizem telesa. ","Timus ali priželjc tvori limfocite, ki so pomembni za obrambo telesa.","<pad> Priželjc ali timus tvori limfocite, pomembne za obrambni mehanizem telesa.</s>"
23,Spolne žleze jajčnika in moda ,Genitalne žleze jajčnikov in mod,<pad> Spolne žleze jajčnika in moda</s>
24,Limfni sistem ,Limfni sistem:,<pad> Limfni sistem </s>
25,"Vzrokov za tovrstne motnje v imunskem sistemu je več. Mednje sodijo tako neodkrita žarišča okužb kot tudi vse večja onesnaženost okolja, sevalne obremenitve, nezadostno gibanje in napačna prehrana. ","Te motnje imunskega sistema imajo več vzrokov, vključno z neodkritimi žarišč okužbe kot tudi večje onesnaževanje okolja, sevanja obremenitve, nezadostno gibanje, in slaba prehrana.","<pad> Vzrokov za tovrstne motnje v imunskem sistemu je več, med njimi so neodkrita žari"
26,"Tavžentroža (Centaury), jesensko vresje (Heather), navadna bodika (Holly), oljka (Olive), hrast (Oak), gorjušica (Mustard), srobot (Clematis), brest (Elm), macesen (Larch). ","Centaury, jesensko vrešče (Heather), oljka (Holly), oljka (Olive), hrast (Oak), gorčica, klematis (Clematis), brest (Belm), macesen (Ma","<pad> Tavžentroža (Centaury), jesensko vresje (Centaur"
27,Skrb za ohranitev zdravega telesa in duše,Ohranjanje zdravega telesa in duha,<pad> Skrb za ohranitev zdravega telesa in duše</s>
28,"Ljubeče se osredotočite na svoj imunski sistem. Poskušajte si čim nazorneje predstaviti, kako pomagate svojim obrambnim celicam pri njihovem vsakodnevnem nadzornem obhodu po vsem telesu, med katerim onesposobite vse vsiljivce in vse lastne izrojene telesne celice. Pozornost namenite tudi mislim ali čustvom, ki ste jih ta dan potlačili. Ne poskrbite le za nego telesa, temveč tudi za nego duše: znebite se takšnih misli in čustev, sperite jih ali izplaknite. Osredotočajte se znova in znova na to, kar ste v svoji notranjosti: na ljubezen in svetlobo, na svoje neranljivo notranje jedro, na svoj notranji jaz. Pooblastite svoj notranji jaz, da bo tudi v vaši duši sprostil sproščajoče hormone, kakršne tvori telo za spodbujanje svoje obrambe. Prosite za pomoč svoje angele varuhe, vsaj enkrat na dan se zavijte v svetlobo vijoličnega plamena, ki nepopolno spreminja v popolnost. Izgovarjajte zdravilne afirmacije ali misli, s katerimi krepite imunski sistem. ","Osredotočite se ljubeče na svoj imunski sistem. Poskusite čim bolj jasno predstaviti, kako pomagate svojim obrambnim celicam pri njihovem vsakodnevnem nadzoru po telesu, onemogočanju vseh vsiljivcev in vseh svojih degeneriranih telesnih celic. Prav tako bodite pozorni na misli in občutke, ki ste jih tisti dan potlačili. Pazite ne le na svoje telo, temveč tudi na svojo dušo. Znebite se takšnih misli in občutkov, jih odstranite ali jih odstranite. Vedno znova se osredotočite na tisto, kar ste v notranjosti na ljubezen in svetlobo, na vaše neranljivo notranje jedro: pooblastite svoj notranji jaz, tako da bo sprostil tudi sproščajoče hormone v vaši duši, kot je vaše telo oblikovano za spodbujanje vaše obrambe. Za pomoč prosite angele, vsaj enkrat na dan zaščitite svoj imunski sistem v nepopolno svetlobo, ki krepi vaš imunski sistem.","<pad> Ljubeče se osredotočite na svoj imunski sistem. Poskušajte si čim bolje predstaviti, kako pomaga"
29,Pomembno je zaupanje,Zaupanje je pomembno,<pad> Pomembno je zaupanje</s>
30,Bodite svoj JAZ,Bodi svoja lastna,<pad> Bodite svoj JAZ</s>
31,Poslušajte svoj notranji glas ,Poslušajte svoj notranji glas,<pad> Poslušajte svoj notranji glas</s>
32,"Koža je največji organski sistem človeškega telesa. Težka je približno tri do štiri kilograme, po površini meri približno dva kvadratna metra, njena debelina pa znaša povprečno sedem do devet milimetrov. Kožo sestavljajo tri plasti:","Koža je največji organski sistem človeškega telesa in tehta približno tri do štiri kilograme, njena površina pa meri približno dva kvadratna metra, povprečna debelina pa je od sedem do devet milimetrov.","<pad> Koža je največji organski sistem človeškega telesa, ki je približno tri do štiri kilograme,"
33,"Celotna povrhnjica varuje telo pred fizikalnimi in kemičnimi vplivi, preprečuje izgubo telesne tekočine in hkrati onemogoča, da bi v telo prodrle neželene bakterije ali glivice. To zaščito povečuje poseben kislinski plašč, ki vsebuje telesne antibiotike. Ti nastajajo v globlje ležečih plasteh ter z lojem in znojem prihajajo na površino kože. Tako ima koža zelo pomembno vlogo tudi pri imunski obrambi telesa. ","Celotna povrhnjica ščiti telo pred fizičnimi in kemičnimi vplivi, preprečuje izgubo telesne tekočine in preprečuje vstop nezaželenih bakterij ali gliv v telo. To zaščito okrepi poseben kislinski plašč, ki vsebuje telesne antibiotike. Oblikujejo se v globljih plasteh in pridejo na površino kože s pomočjo maščobe in znoja.","<pad> Celotna plast je zaščitna pred fizikalnimi in kemičnimi vplivi, preprečuje izgubo telesne tekočine in preprečuje"
34,/ob strani 85/,/ na strani 85,<pad> /ob strani 85/</s>
35,"V spodnjem delu usnjice so znojnice, žleze, ki izločajo znoj, z receptorji za toploto in mraz. ","V spodnjem delu dermisa so žleze znojnice, znojnice z receptorji za toploto in mraz.","<pad> V spodnjem delu usnjice so znojnice, žleze, ki izločajo znoj"
36,"Koža kaže grozo in strah, postane bleda ali rdeča. Njena posebna naloga varovalnega organa se zrcali tudi na duševni ravni. Tako se koža jasno odziva, kadar gre za težave z ograjevanjem, zavračanjem ali približevanjem. Še posebno pogosto se odziva »alergično«, če ima človek občutek, da se ne more zadostno braniti ali da se mora neprenehoma braniti pred vsem in pred vsemi. ","Koža kaže strah in strah, postane bleda ali rdeča, njena posebna vloga zaščitnega organa pa se odraža tudi na mentalni ravni. Koža se jasno odzove, ko se pojavijo težave z ograditvijo, zavrnitvijo ali približevanjem. Še posebej pogosto reagira ""alergično "", če oseba meni, da se ne more dovolj braniti ali da se mora nenehno braniti pred vsem in pred vsemi.","<pad> Koža kaže grozo in strah, postane bleda ali rdeča. Njena posebna naloga varovalnega organa"
37,"- Predstavljajte si, da ogrnete svojo kožo z varovalnim ovojem iz svetlobe, ali pa kožo nežno božajte z ljubečimi mislimi in čustvi. Zahvalite se svoji koži za številne naloge, ki jih že leta in leta tako zanesljivo opravlja. ","- Predstavljajte si, da svojo kožo obdate z zaščitnim ovojem svetlobe ali nežno božate svojo kožo z ljubečimi mislimi in občutki ter se zahvalite svoji koži za številne naloge, ki jih je tako zagotovo opravila že vrsto let.","<pad> - Predstavljajte si, da ogrnete svojo kožo z varovalnim ovojem iz svetlobe"
38,"Schüsslerjeve soli: Ferrum phosphoricum, Natrium phosphoricum. ","Schüsslerjeve soli: Ferrum phosphoryum, natrijev fosfor.","<pad> Schüsslerjeve soli: Ferrum phosphoricum, Natri"
39,"- Vzemite si čas in vzpostavite stik s svojo kožo. Zahvalite se ji za vse, kar počne za vas, in ji pošljite svojo ljubezen. Dajte ji glas, da se ne bo pogovarjala z vami samo skozi bolezenski simptom, temveč neposredno. Morda si vaša koža želi več bližine, več dotikov in več stika z vami, česar si sami ne priznate? Potrebuje morda več svetlobe in dobre hrane? Dopustite vse, kar se zdaj pojavi v vaši zavesti notranje podobe, simbole ali barve. ","- Vzemite si čas, da se obrnete na svojo kožo. Hvala ji za vse, kar počne za vas in ji pošljite svojo ljubezen. Daj ji glas, tako da ona ne govori z vami le skozi simptom bolezni, ampak neposredno. Morda vaša koža želi več bližine, več dotakne, in več stika z vami, nekaj, kar ne priznati, da sami morda? ona potrebuje več svetlobe in dobro hrano? Dovoli, kar se zdaj pojavi v vaši zavesti, da so notranje slike, simboli, ali barve.",<pad> - Vzemite si čas in vzpostavite stik s svojo kožo. Zahvalite se ji za
40,"- Nato se zahvalite in poslovite. Štejte od 1 do 10 in zatem še od 1 do 3, odprite oči ter se iz globoke sprostitve počasi vrnite v normalno stanje zavesti. Pretegnite se in raztegnite. ","- Potem reči hvala in zbogom, štetje od 1 do 10 in nato šteje od 1 do 3, odprite oči in počasi vrnitev v normalno zavest iz globoke sprostitve.",<pad> - Nato se zahvalite in poslovite. - Nato se zahvalite in poslovite. -
41,"- tanek zunanji ovoj ali pokostnica, ki je gosto prepredena z živci in zato občutljiva za bolečine,","- tanek zunanji ovoj ali periosteum, ki je gosto povezan z živci in je zato občutljiv za bolečino,","<pad> - tanek zunanji ovoj ali pokostnica, ki je gosto prepredena z živci"
42,/ob strani 92/,/ na strani 92,<pad> /ob strani 92 /</s>
43,/10/ pogačica,/ 10 / pogačica,<pad> /10 / pogačica</s>
44,"Po eno kapljico cvetnih izvlečkov daste lahko v kozarec vode in jo po požirkih popijete, lahko pa si iz navedenih cvetov pripravite tudi mešanico in jemljite vsak dan 2 x 10 kapljic, dokler ne občutite izboljšanja. Tudi učinek teh cvetnih izvlečkov lahko podkrepite s svojo predstavnostno močjo. Natančnejši opis posameznih cvetov boste našli v ustreznih priročnikih. ","V kozarec vode lahko vlijete eno kapljico cvetnih ekstraktov in jo popijete v požirkih, lahko pa naredite mešanico iz naštetih cvetov in vsak dan vzamete 2 x 10 kapljic, dokler ne začutite izboljšanja. Učinek teh cvetnih ekstraktov lahko tudi okrepite z lastno medijsko močjo.",<pad> Po eno kapljico cvetnih izvlečkov daste v kozarec vode in jo popijete vsak
45,"Vrba (Willow), cikorija (Chicory), macesen (Larch), tavžentroža (Centaury), studenčnica (Rock Water), oljka (Olive). ","Willow), Chicory, Larch (Macesen), Centaury, Rock Water, Olive (Oljke), Willow (Rock Water), Olive (Macesen).","<pad> Vrba (Willow), cikorija (Chicory), macesen ("
46,"- Vprašajte svoje telo ali boleče mesto na telesu, ali imata za vas kakšno sporočilo. Vzemite si čas in pozorno prisluhnite ali se razglejte. ","- vprašajte svoje telo ali boleče mesto, če ima sporočilo za vas, vzemite si čas, da pozorno poslušate ali se ozrete okoli.",<pad> - Vprašajte svoje telo ali boleče mesto na telesu ali bolečina na telesu ali ali imata kakšno sporočilo
47,"- Pripravite se na notranje potovanje, kakor je opisano na strani 65. ","-Pripravite se na svoje notranje potovanje, kot je opisano na strani 65.","<pad> - Pripravite se na notranje potovanje, kot je opisano na strani 65.</s>"
48,/ob strani 102/,/ na strani 102 /,<pad> /ob strani 102/</s>
49,/6/ ledveni živci (5 parov),/ 6 / ledvenih živcev (5 parov),<pad> /6/ ledveni živci (5 parov)</s>
50,Pravična delitev dela ali prevlada z leve ali z desne,Delitev dela ali prevlade z leve ali desne strani,<pad> Pravična delitev dela ali prevlada z leve ali z desne</s>
51,"Čeprav so možgani tudi sedež čustvenih doživetij, je v govorici organov glava predvsem simbol za anatalitično, intelektualno, obvladujočo človeško plat, ki ima mesto v levi možganski polobli. Zlasti v naši, zahodni kulturi je ta racionalna, nekritično v znanost zazrta plat dobila preveliko težo in jo je nujno treba uravnovesiti z intuicijo, ustvarjalnimi sposobnostmi, vero in zaupanjem v nevidno. Znaki in bolezni, povezani z možgani, kažejo največkrat prav na potrebo po povezovanju obeh strani. ","Čeprav so možgani tudi sedež čustvenega doživljanja, je v organskem jeziku glava predvsem simbol anatomske, intelektualne, nadzorne človeške strani, ki se odvija v levi možganski hemisferi. Še posebej v naši zahodni kulturi je ta racionalna stran, nekritično osredotočena na znanost, pridobila preveč teže in mora biti uravnotežena z intuicijo, ustvarjalnimi sposobnostmi, vero in zaupanjem v nevidno. Znaki in bolezni, povezani z možgani, pogosto kažejo na potrebo po povezovanju obeh strani.","<pad> Čeprav so možgani tudi sedež čustvenih doživetij, je glava predvsem simbol za anatalitično, intelektualno"
52,/str. 106/ ,/ stran 106 /,<pad> /str. 106 /</s>
53,"- Predstavljajte si, kako se vaši možgani sprostijo. Za pomoč lahko zraven izberete pomirjujočo barvo ali si mrmrate prijetno melodijo. Preden se osredotočite na obe polobli velikih možganov, si predstavljajte, kako so možgani prek hrbtenjače povezani z vsem telesom. Predstavo si lahko olajšate tako, da izberete dve različni barvi ali en svetel in en temen odtenek sive barve. ","Da bi vam pomagali izbrati pomirjujočo barvo ali mrmrati prijetno melodijo. Preden se osredotočite na obe možganski hemisferi, si predstavljajte, kako so možgani povezani s celotnim telesom skozi hrbtenjačo. Sliko si lahko olajšate tako, da izberete dve različni barvi ali eno svetlo in eno temno sivo.","<pad> - Predstavljajte si, kako se vaši možgani sprostijo. Za pomoč lahko uporabite pomirjujočo"
54,/ob strani 108/,/ na strani 108,<pad> /ob strani 108/</s>
55,/str. 108/,/ stran 108 /,<pad> /str. 108/</s>
56,/ob strani 109/,/ na strani 109 /,<pad> /ob strani 109/</s>
57,"- Preidite na globljo in bolj sproščeno raven zavesti, kakor je opisano na strani 65. Dihajte globoko in enakomerno, izdih naj postaja vse globlji in globlji. Predstavljajte si široko razvejen sistem živčnih celic, ki so povezane med seboj in z organi. Zamislite si, kako tok informacij kroži po vsem telesu, občutite, kje energija zastaja in kje je morda primanjkuje, ter poiščite sliko, ki bo ponazarjala, kako bi lahko spet vzpostavili ravnovesje. Morda bi pomagala določena barva ali podoba vode, da bi bili vsi sistemi in vse živčne celice spet povezani med seboj. ","- Premaknite se na globljo in bolj sproščeno raven zavesti, kot je opisano na strani 65. globoko in vztrajno dihajte, pustite, da vaš dih raste globlje in globlje. predstavljajte si široko razpreden sistem živčnih celic, povezanih med seboj in z organi. predstavljajte si, kako pretok informacij kroži po vašem telesu, občutite, kje se je energija zataknila in kje je morda primanjkuje, in poiščite sliko, ki ponazarja, kako bi lahko ponovno vzpostavili ravnovesje. morda bi določena barva ali podoba vode pomagala, da bi se vsi sistemi in vse živčne celice ponovno povezali.","<pad> - Preidite na globljo in bolj sproščeno raven zavesti, kot je opisano na strani 65."
58,"Oko nam le v sodelovanju z možgani omogoča, da gledamo in vidimo. Svetloba vstopa v oko skozi roženico, ki je prozorna in prekriva sprednji del očesa, nato potuje skozi zenico, temno odprtino sredi šarenice, ki se glede na vpad svetlobe zoži ali razširi. Za šarenico leži očesna leča, ki usmerja svetlobo na mrežnico in skrbi za ostrino slike. Majhna mišica, ki krožno obdaja očesno lečo (ciliarna mišica), jo prilagaja oddaljenosti predmetov. Ko gledamo bližnje predmete, se mišica skrči in leča se zaobli, pri osredotočanju na oddaljene predmete pa se mišica sprosti in leča se stanjša. ","Le s sodelovanjem možganov nam oko omogoča, da vidimo in vidimo. Svetloba vstopi v oko skozi roženico, ki je prozorna in pokriva sprednji del očesa, nato pa prehaja skozi učenca, temno odprtino v sredini šarenice, ki se zoži ali razširi, ko svetloba pade noter. Za šarenico očesna leča usmeri svetlobo na mrežnico in zagotavlja ostrino. Majhna mišica, ki krožno obdaja očesno lečo (mišica ciliar) jo prilagodi razdalji predmetov. Ko gledamo bližnje predmete, se mišica skrči in leča je zaokrožena, in ko se osredotočimo na oddaljene predmete, se mišica in leča skrčita.","<pad> Oko nam omogoča, da gledamo in vidimo. Svetloba vstopa v oko skozi roženico,"
59,Nos ,- za nos,<pad> Nos </s>
60,/3/ bobnič,/ 3 / bobnič,<pad> / / / bobnič</s>
61,/str. 114/,/ stran 114 /,<pad> /str. 114/</s>
62,/ob strani 114/,/ na strani 114,<pad> /ob strani 114/</s>
63,/str. 115/,/ stran 115 /,<pad> /str. 115 /</s>
64,"eno teži, drugo osvežuje ","eden tehta, drugi osveži.","<pad> Eno teži, drugo osvežuje</s>"
65,Goethe ,Goethe in,<pad> Goethe </s>
66,"Če usmerite pozornost na dihanje, boste ugotovili, koliko vam lahko pove o vaših čustvih, o vašem počutju. Gotovo ste že doživeli, da ste po končanem razgovoru, ki je potekel bolje, kot ste pričakovali, globoko in olajšano zadihali ali da vam je v nevarnem položaju dih zastal in vas je tesnobno stisnilo v prsih. ","Če boste svojo pozornost usmerili na dihanje, boste ugotovili, koliko vam lahko pove o vaših občutkih, o vašem dobrem počutju, in morda ste doživeli globoko, lahko dihanje po pogovoru, ki je potekal bolje, kot ste pričakovali, ali nevarno situacijo, ko vam je zastal dih in ste postali zaskrbljeni v prsih.","<pad> Če usmerite pozornost na dihanje, boste ugotovili, koliko vam lahko pove o vaših čustvih,"
67,/str. 117/,/ stran 117 /,<pad> /str. 117/</s>
68,/2/ pljučno krilo,/ 2 / pljuča,<pad> / / pljučno krilo</s>
69,/4/ bronhiol,/ 4 / bronhiole,<pad> / / / / /</s>
70,"Cikorija (Chicory), beli kostanj (White Chestnut), trepetlika (Aspen), krinkar (Mimulus), češnjelika sliva (Cherry Plum), popon (Rock Rose). ","Chicory, beli kostanj (beli kostanj), Aspen (Asppen), škrlatno (Mimulus), češnjevo slivo (češnjeva sliva), popon (Rose Rock).","<pad> Cikorija (Chicory), beli kostanj (White Chestnu"
71,"Psihosomatika meni, da so težave z dihali predvsem posledica motene izmenjave na vsakršni možni ravni. Poleg tega gre lahko za moč in nemoč, za privlačevanje in odbijanje. Kašelj lahko postane govorica brez besed, ki želi izraziti protest ali agresijo. ","Psihosomatiki verjamejo, da so težave z dihanjem v prvi vrsti posledica motene izmenjave na vseh možnih ravneh, poleg tega pa je lahko stvar moči in nemoči, privlačnosti in odpora.Kašelj lahko postane brezbeseden jezik, ki skuša izraziti protest ali agresijo.","<pad> Psihosomatika meni, da so težave z dihali posledica motene izmenjave na vseh možnih ravneh"
72,- Zahvalite se in se poslovite ter se počasi vrnite iz stanja globoke sprostitve. ,"Reci ""hvala"" in ""zbogom"" in se počasi vračaj iz stanja globoke sproščenosti.",<pad> - Zahvalite se in se vrnite iz stanja globoke sprostitve.</s>
73,- Zdravilna afirmacija ,- Medicinska potrditev,<pad> - Zdravilna afirmacija </s>
74,»Sposoben sem povedati drugim svoje stališče brez strahu in brez občutkov krivde.«,"""drugim lahko povem svoje stališče, brez strahu ali občutka krivde.""","<pad> ""Sposoben sem povedati drugim svoje stališče brez strahu in brez občutkov krivde.""</s>"
75,"Srce, krvni obtok, kri ","Srce, krvni obtok, kri","<pad> Srce, krvni obtok, kri</s>"
76,Srce ,Moje srce...,<pad> Srce </s>
77,/ob strani 122/,/ na strani 122 /,<pad> /ob strani 122/</s>
78,/2/ pljučni krvni obtok,/ 2 / pljučni obtok,<pad> /2/ pljučni krvni obtok</s>
79,/12/ rdeče krvne celice (eritrociti),/ 12 / rdeče krvne celice (eritrociti),<pad> /12/ rdeče krvne celice (eritrociti)</s>
80,Schüsslerjeve soli: Ferrum phosphoricum.,Schüsslerjeve soli: Ferrum fosfor.,<pad> Schüsslerjeve soli: Ferrum phosphoricum.</s>
81,/5/ dvanajstnik,/ 5 / dvanajsti,<pad> /5/ dvanajstnik</s>
